generation,best_cost
0,22190.86034783059
1,16953.431265039042
2,16953.431265039042
3,16943.239481729644
4,16943.239481729644
5,16943.239481729644
6,16943.239481729644
7,16938.7847674827
8,16938.7847674827
9,16938.7847674827
10,16938.7847674827
11,16938.7847674827
12,16938.7847674827
13,16938.7847674827
14,16938.7847674827
15,16938.7847674827
16,16938.7847674827
17,16938.7847674827
18,16938.7847674827
19,16938.7847674827
20,16938.7847674827
21,16938.7847674827
22,16938.7847674827
23,16938.7847674827
24,16938.7847674827
25,16938.7847674827
26,16938.7847674827
27,16938.7847674827
