name,state,city,address,lattitude,longitude,type
HP Pitam Pura DC Charging Station,Delhi,New Delhi,"HP PETROL PUMP - AUTO CARE CENTRE PITAM PURA, Pitampura, Delhi, India",28.6962,77.155,12.0
Hotel Dolphin AC Charging Station,Delhi,New Delhi,"Hotel Dolphin, Railway Rd, Katra, Jammu and Kashmir 182301",32.9892,74.9289,12.0
Ather Space - Janakpuri,Uttar Pradesh,delhi," Ground floor, BF-1, Janakpuri, Jail Road, New Delhi 110058",28.6255909,77.1009332,6.0
NDSE Grid BRPL,Delhi,New Delhi,"South Extension, Block E, South Extension II, New Delhi, Delhi 110049",28.86883053,77.14376226,8.0
EESL PSOI Club,Delhi,New Delhi,"PSOI Club Chanakyapuri, New Delhi, Delhi 110021",28.58664525,77.19360781,8.0
EESL ICICI Bank Janpath,Delhi,New Delhi,"No 82, Janpath Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",28.62891677,77.21975289,8.0
EV Plugin Charge Cross River Mall,Delhi,New Delhi,"Cross River Mall, Plot No - 9B & 9C, Basement, 2, CBD Ground, Shahdara, New Delhi, Delhi 110032",28.65740137,77.30219421,8.0
MG DELHI LAJPAT NAGAR,Delhi NCR,NEW DELHI,"A-14, Ring Road, Lajpat nagar, Delhi 110024",28.564863,77.236743,20.0
"Worldmark 2, Aerocity",Delhi NCR,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5494799,77.1213702,7.0
"IOCL - Tikri Gas, Delhi",Delhi NCR,Delhi,"Rohtak Road, Block C, Tyagi Vihar, Ghevra, Delhi, 110072",28.6868847,76.9849286,7.0
