generation,best_cost
0,21854.404079536962
1,21043.028861994557
2,20116.971191452
3,19938.99343629272
4,19411.93334525876
5,18881.995617612294
6,18399.129084372413
7,18399.129084372413
8,18399.129084372413
9,18399.129084372413
10,18399.129084372413
11,18399.129084372413
12,18393.846866451015
13,18393.846866451015
14,18328.795087431885
15,18101.514880780924
16,18068.572220134098
17,17831.297213339934
18,17805.24465958557
19,17805.24465958557
20,17805.24465958557
21,17805.24465958557
22,17805.24465958557
23,17805.24465958557
24,17805.24465958557
25,17805.24465958557
26,17805.24465958557
27,17805.24465958557
28,17805.24465958557
29,17805.24465958557
30,17805.24465958557
31,17805.24465958557
32,17805.24465958557
33,17805.24465958557
34,17805.24465958557
35,17805.24465958557
36,17805.24465958557
37,17805.24465958557
38,17805.24465958557
