generation,best_cost
0,14032.645492931397
1,13630.838992943136
2,11695.819092667298
3,11695.819092667298
4,11664.86738266071
5,11087.954763951919
6,10731.613377976615
7,10731.613377976615
8,10731.613377976615
9,10731.613377976615
10,10731.613377976615
11,10731.613377976615
12,10731.613377976615
13,10537.828816099269
14,10537.828816099269
15,10537.828816099269
16,10537.828816099269
17,10537.828816099269
18,10537.828816099269
19,10537.828816099269
20,10429.652502162226
21,10429.652502162226
22,10429.652502162226
23,10429.652502162226
24,10429.652502162226
25,10429.652502162226
26,10429.652502162226
27,10429.652502162226
28,10429.652502162226
29,10429.652502162226
30,10429.652502162226
31,10429.652502162226
32,10429.652502162226
33,10429.652502162226
34,10429.652502162226
35,10429.652502162226
36,10429.652502162226
37,10429.652502162226
38,10429.652502162226
39,10429.652502162226
40,10429.652502162226
