name,state,city,address,lattitude,longitude,type
Hotel Dolphin AC Charging Station,Delhi,New Delhi,"Hotel Dolphin, Railway Rd, Katra, Jammu and Kashmir 182301",32.9892,74.9289,12.0
Oyo Townhouse 278 Rohini,Kerala,delhi,"6-A, Pocket 27, Sector-24, Rohini, Delhi, 110085, New Delhi, Delhi",28.7328878,77.0841225,6.0
"IOCL Hundred Percent Filling & Service Station, Dwarka",Delhi,Delhi,"Sector 9, Dwarka, New Delhi, Delhi 110073",28.578641,77.05962,7.0
"IOCL - Citi Fuels, Virender Nagar",Delhi,Delhi,OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE NEW DELHI,28.622486,77.09547,7.0
"IOCL - Gay Service Station, Azadpur",Delhi,Delhi,"Near Azadpur, New Delhi,110033",28.703312,77.181109,7.0
"HPCL - Badarpur Service Station, Gazipur",Uttar Pradesh,Delhi,"Integrated Freight Complex, Mayur Vihar Phase III, Gharoli, Delhi, Uttar Pradesh 110096",28.6197025,77.3411839,7.0
IOCL - AAUI Service Station ,Delhi,Delhi,IOCL at Plot No 1 I P Estate Ring Road New Delhi,28.6179662,77.2487894,7.0
Volltic DCS08,Delhi,New Delhi,"Golden Ikon Fleet Management, Iffco chowk delhi",28.52360775,77.08321547,13.0
EESL SDA Market,Delhi,Delhi,"Unnamed Road, Block C 5, Hauz Khas Enclave, Hauz Khas, New Delhi, Delhi 110016",28.54873377,77.19657963,8.0
EV Plugin Charge Vasant Square Mall,Delhi,New Delhi,"Vasant Kunj Marg, Pocket 5, Sector B, Vasant Kunj, New Delhi, Delhi 110070",28.52544024,77.15590041,8.0
EESL Charak Palika Hospital,Delhi,New Delhi,"F 203, Moti Bagh 1, Block F, North West Moti Bagh, New Delhi, Delhi 110021",28.58704293,77.17767714,8.0
EESL Palika Maternity Hospital,Delhi,New Delhi,"Palika Maternity Hospital, block 11, Lodhi Colony, Near Khanna Market, New Delhi - 110003",28.583518,77.222057,8.0
EESL KTM,Delhi,New Delhi,"NDMC Parking, Opp South Indian Bank, Block - E , RR6, Middle Circle, connaught Place, New Delhi - 110001",28.63372677,77.22193874,8.0
EESL Chelmsford Club,Delhi,Delhi,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.61826041,77.21256986,16.0
MG DELHI LAJPAT NAGAR,Delhi NCR,NEW DELHI,"A-14, Ring Road, Lajpat nagar, Delhi 110024",28.564863,77.236743,20.0
"True North, Mayapuri",Delhi NCR,Delhi,"A1/1 Mayapuri, Industrial Area, Phase 1, New Delhi 110064",28.633301,77.126961,7.0
"Sagar Motors, Dilshad Garden",Delhi NCR,Delhi,"No ZB/43 487 & ZB, 44 487, Dilshad Garden, New Delhi, Delhi 110095",28.676246,77.31768,7.0
"Worldmark 3, Aerocity",Delhi NCR,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5516849,77.1216672,7.0
"Pacific Mall, Netaji Subash Palace",Delhi NCR,Delhi,"Pitam Pura, New Delhi, Delhi 110034",28.6933409,77.1531325,7.0
"IOCL - Tikri Gas, Delhi",Delhi NCR,Delhi,"Rohtak Road, Block C, Tyagi Vihar, Ghevra, Delhi, 110072",28.6868847,76.9849286,7.0
